,S.NO,Insurance Name,Age,Profile,Government/Private,Health Condition,Coverage
866,866,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,1000000
867,867,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,1000000
868,868,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,1000000
869,869,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Diabetes,1000000
870,870,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Diabetes,1000000
871,871,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Hypertension,1000000
872,872,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Hypertension,1000000
873,873,My Health Care by Bajaj Allianz,18-65,Parents,Private,Others,1000000
874,874,My Health Care by Bajaj Allianz,18-65,Parents,Private,Diabetes,1000000
875,875,My Health Care by Bajaj Allianz,18-65,Parents,Private,Hypertension,1000000
876,876,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Others,1000000
877,877,Individual Health Guard - Gold by Bajaj Allianz,18-65,Senior Citizen,Private,Others,1000000
878,878,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Senior Citizen,Private,Others,1000000
879,879,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Diabetes,1000000
880,880,Individual Health Guard - Gold by Bajaj Allianz,18-65,Senior Citizen,Private,Diabetes,1000000
881,881,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Hypertension,1000000
882,882,Individual Health Guard - Gold by Bajaj Allianz,18-65,Senior Citizen,Private,Hypertension,1000000
883,883,My Health Care by Bajaj Allianz,18-65,Self,Private,Diabetes,2000000
884,884,Individual Health Guard - Gold by Bajaj Allianz,18-65,Self,Private,Diabetes,2000000
885,885,My Health Care by Bajaj Allianz,18-65,Self,Private,Hypertension,2000000
886,886,Individual Health Guard - Gold by Bajaj Allianz,18-65,Self,Private,Hypertension,2000000
887,887,Individual Health Guard - Gold by Bajaj Allianz,65-75,Self,Private,Others,2000000
888,888,Individual Health Guard - Gold by Bajaj Allianz,65-75,Self,Private,Diabetes,2000000
889,889,Individual Health Guard - Gold by Bajaj Allianz,65-75,Self,Private,Others,2000000
890,890,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self,Private,Others,2000000
891,891,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Others,2000000
892,892,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse,Private,Others,2000000
893,893,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse,Private,Others,2000000
894,894,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Diabetes,2000000
895,895,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse,Private,Diabetes,2000000
896,896,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Hypertension,2000000
897,897,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse,Private,Hypertension,2000000
898,898,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,2000000
899,899,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,2000000
900,900,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,2000000
901,901,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Diabetes,2000000
902,902,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Diabetes,2000000
903,903,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Hypertension,2000000
904,904,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Hypertension,2000000
905,905,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,2000000
906,906,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,2000000
907,907,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,2000000
908,908,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Diabetes,2000000
909,909,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Diabetes,2000000
910,910,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Hypertension,2000000
911,911,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Hypertension,2000000
912,912,My Health Care by Bajaj Allianz,18-65,Parents,Private,Others,2000000
913,913,My Health Care by Bajaj Allianz,18-65,Parents,Private,Diabetes,2000000
914,914,My Health Care by Bajaj Allianz,18-65,Parents,Private,Hypertension,2000000
915,915,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Others,2000000
916,916,Individual Health Guard - Gold by Bajaj Allianz,18-65,Senior Citizen,Private,Others,2000000
917,917,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Senior Citizen,Private,Others,2000000
918,918,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Diabetes,2000000
919,919,Individual Health Guard - Gold by Bajaj Allianz,18-65,Senior Citizen,Private,Diabetes,2000000
920,920,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Hypertension,2000000
921,921,Individual Health Guard - Gold by Bajaj Allianz,18-65,Senior Citizen,Private,Hypertension,2000000
922,922,My Health Care by Bajaj Allianz,18-65,Self,Private,Diabetes,3000000
923,923,Individual Health Guard - Gold by Bajaj Allianz,18-65,Self,Private,Diabetes,3000000
924,924,My Health Care by Bajaj Allianz,18-65,Self,Private,Hypertension,3000000
925,925,Individual Health Guard - Gold by Bajaj Allianz,18-65,Self,Private,Hypertension,3000000
926,926,Individual Health Guard - Gold by Bajaj Allianz,65-75,Self,Private,Others,3000000
927,927,Individual Health Guard - Gold by Bajaj Allianz,65-75,Self,Private,Diabetes,3000000
928,928,Individual Health Guard - Gold by Bajaj Allianz,65-75,Self,Private,Hypertension,3000000
929,929,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self,Private,Others,3000000
930,930,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Others,3000000
931,931,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse,Private,Others,3000000
932,932,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse,Private,Others,3000000
933,933,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Diabetes,3000000
934,934,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse,Private,Diabetes,3000000
935,935,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Hypertension,3000000
936,936,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse,Private,Hypertension,3000000
937,937,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,3000000
938,938,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,3000000
939,939,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,3000000
940,940,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Diabetes,3000000
941,941,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Diabetes,3000000
942,942,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Hypertension,3000000
943,943,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Hypertension,3000000
944,944,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,3000000
945,945,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,3000000
946,946,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,3000000
947,947,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Diabetes,3000000
948,948,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Diabetes,3000000
949,949,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Hypertension,3000000
950,950,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Hypertension,3000000
951,951,My Health Care by Bajaj Allianz,18-65,Parents,Private,Others,3000000
952,952,My Health Care by Bajaj Allianz,18-65,Parents,Private,Diabetes,3000000
953,953,My Health Care by Bajaj Allianz,18-65,Parents,Private,Hypertension,3000000
954,954,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Others,3000000
955,955,Individual Health Guard - Gold by Bajaj Allianz,18-65,Senior Citizen,Private,Others,3000000
956,956,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Senior Citizen,Private,Others,3000000
957,957,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Diabetes,3000000
958,958,Individual Health Guard - Gold by Bajaj Allianz,18-65,Senior Citizen,Private,Diabetes,3000000
959,959,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Hypertension,3000000
960,960,Individual Health Guard - Gold by Bajaj Allianz,18-65,Senior Citizen,Private,Hypertension,3000000
961,961,My Health Care by Bajaj Allianz,18-65,Self,Private,Diabetes,5000000
962,962,Individual Health Guard - Gold by Bajaj Allianz,18-65,Self,Private,Diabetes,5000000
963,963,My Health Care by Bajaj Allianz,18-65,Self,Private,Hypertension,5000000
964,964,Individual Health Guard - Gold by Bajaj Allianz,18-65,Self,Private,Hypertension,5000000
965,965,Individual Health Guard - Gold by Bajaj Allianz,65-75,Self,Private,Others,5000000
966,966,Individual Health Guard - Gold by Bajaj Allianz,65-75,Self,Private,Diabetes,5000000
967,967,Individual Health Guard - Gold by Bajaj Allianz,65-75,Self,Private,Hypertension,5000000
968,968,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self,Private,Others,5000000
969,969,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Others,5000000
970,970,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse,Private,Others,5000000
971,971,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse,Private,Others,5000000
972,972,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Diabetes,5000000
973,973,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse,Private,Diabetes,5000000
974,974,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Hypertension,5000000
975,975,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse,Private,Hypertension,5000000
976,976,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,5000000
977,977,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,5000000
978,978,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,5000000
979,979,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Diabetes,5000000
980,980,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Diabetes,5000000
981,981,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Hypertension,5000000
982,982,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Hypertension,5000000
983,983,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,5000000
984,984,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,5000000
985,985,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,5000000
986,986,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Diabetes,5000000
987,987,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Diabetes,5000000
988,988,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Hypertension,5000000
989,989,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Hypertension,5000000
990,990,My Health Care by Bajaj Allianz,18-65,Parents,Private,Others,5000000
991,991,My Health Care by Bajaj Allianz,18-65,Parents,Private,Diabetes,5000000
992,992,My Health Care by Bajaj Allianz,18-65,Parents,Private,Hypertension,5000000
993,993,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Others,5000000
994,994,Individual Health Guard - Gold by Bajaj Allianz,18-65,Senior Citizen,Private,Others,5000000
995,995,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Senior Citizen,Private,Others,5000000
996,996,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Diabetes,5000000
997,997,Individual Health Guard - Gold by Bajaj Allianz,18-65,Senior Citizen,Private,Diabetes,5000000
998,998,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Hypertension,5000000
999,999,Individual Health Guard - Gold by Bajaj Allianz,18-65,Senior Citizen,Private,Hypertension,5000000
1000,1000,My Health Care by Bajaj Allianz,18-65,Self,Private,Others,10000000
1001,1001,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self,Private,Others,10000000
1002,1002,My Health Care by Bajaj Allianz,18-65,Self,Private,Diabetes,10000000
1003,1003,My Health Care by Bajaj Allianz,18-65,Self,Private,Hypertension,10000000
1004,1004,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Others,10000000
1005,1005,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse,Private,Others,10000000
1006,1006,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Diabetes,10000000
1007,1007,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Hypertension,10000000
1008,1008,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,10000000
1009,1009,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,10000000
1010,1010,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Diabetes,10000000
1011,1011,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Hypertension,10000000
1012,1012,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,10000000
1013,1013,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,10000000
1014,1014,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Diabetes,10000000
1015,1015,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Hypertension,10000000
1016,1016,My Health Care by Bajaj Allianz,18-65,Parents,Private,Others,10000000
1017,1017,My Health Care by Bajaj Allianz,18-65,Parents,Private,Diabetes,10000000
1018,1018,My Health Care by Bajaj Allianz,18-65,Parents,Private,Hypertension,10000000
1019,1019,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Others,10000000
1020,1020,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Senior Citizen,Private,Others,10000000
1021,1021,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Diabetes,10000000
1022,1022,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Hypertension,10000000
1023,1023,My Health Care by Bajaj Allianz,18-65,Self,Private,Others,20000000
1024,1024,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Others,20000000
1025,1025,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,20000000
1026,1026,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,20000000
1027,1027,My Health Care by Bajaj Allianz,18-65,Parents,Private,Others,20000000
1028,1028,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Others,20000000
1029,1029,My Health Care by Bajaj Allianz,18-65,Self,Private,Diabetes,20000000
1030,1030,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Diabetes,20000000
1031,1031,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Diabetes,20000000
1032,1032,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Diabetes,20000000
1033,1033,My Health Care by Bajaj Allianz,18-65,Parents,Private,Diabetes,20000000
1034,1034,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Diabetes,20000000
1035,1035,My Health Care by Bajaj Allianz,18-65,Self,Private,Hypertension,20000000
1036,1036,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Hypertension,20000000
1037,1037,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Hypertension,20000000
1038,1038,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Hypertension,20000000
1039,1039,My Health Care by Bajaj Allianz,18-65,Parents,Private,Hypertension,20000000
1040,1040,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Hypertension,20000000
1041,1041,Care Freedom by Care Health,18-75,Self,Private,Diabetes,500000
1042,1042,Care Heart by Care Health,18-75,Self,Private,Diabetes,500000
1043,1043,Care Freedom for Diabetes by Care Health,18-75,Self,Private,Diabetes,500000
1044,1044,Care Freedom by Care Health,18-75,Self,Private,Hypertension,500000
1045,1045,Care Heart by Care Health,18-75,Self,Private,Hypertension,500000
1046,1046,Care Freedom for Diabetes by Care Health,18-75,Self,Private,Hypertension,500000
1047,1047,Care Health Advantage by Care Health,18-75,Self,Private,Others,500000
1048,1048,Care Senior by Care Health,18-75,Self,Private,Others,500000
1049,1049,Care Freedom by Care Health,18-75,Self,Private,Others,500000
1050,1050,Care Heart by Care Health,18-75,Self,Private,Others,500000
1051,1051,Care Freedom for Diabetes by Care Health,18-75,Self,Private,Others,500000
1052,1052,Care Freedom by Care Health,18-75,Self and Spouse,Private,Others,500000
1053,1053,Care Heart by Care Health,18-75,Self and Spouse,Private,Others,500000
1054,1054,Care Freedom for Diabetes by Care Health,18-75,Self and Spouse,Private,Others,500000
1055,1055,Care Freedom by Care Health,18-75,Self and Spouse,Private,Diabetes,500000
1056,1056,Care Heart by Care Health,18-75,Self and Spouse,Private,Diabetes,500000
1057,1057,Care Freedom for Diabetes by Care Health,18-75,Self and Spouse,Private,Diabetes,500000
1058,1058,Care Freedom by Care Health,18-75,Self and Spouse,Private,Hypertension,500000
1059,1059,Care Heart by Care Health,18-75,Self and Spouse,Private,Hypertension,500000
1060,1060,Care Freedom for Diabetes by Care Health,18-75,Self and Spouse,Private,Hypertension,500000
1061,1061,Care Freedom by Care Health,18-75,Self and Spouse and 1Kid,Private,Others,500000
1062,1062,Care Freedom for Diabetes by Care Health,18-75,Self and Spouse and 1Kid,Private,Others,500000
1063,1063,Care Freedom by Care Health,18-75,Self and Spouse and 1Kid,Private,Diabetes,500000
1064,1064,Care Freedom for Diabetes by Care Health,18-75,Self and Spouse and 1Kid,Private,Diabetes,500000
1065,1065,Care Freedom by Care Health,18-75,Self and Spouse and 1Kid,Private,Hypertension,500000
1066,1066,Care Freedom for Diabetes by Care Health,18-75,Self and Spouse and 1Kid,Private,Hypertension,500000
1067,1067,Care Freedom by Care Health,18-75,Self and Spouse and 2Kids,Private,Others,500000
1068,1068,Care Freedom for Diabetes by Care Health,18-75,Self and Spouse and 2Kids,Private,Others,500000
1069,1069,Care Freedom by Care Health,18-75,Self and Spouse and 2Kids,Private,Diabetes,500000
1070,1070,Care Freedom for Diabetes by Care Health,18-75,Self and Spouse and 2Kids,Private,Diabetes,500000
1071,1071,Care Freedom by Care Health,18-75,Self and Spouse and 2Kids,Private,Hypertension,500000
1072,1072,Care Freedom for Diabetes by Care Health,18-75,Self and Spouse and 2Kids,Private,Hypertension,500000
1073,1073,Care Freedom by Care Health,18-75,Parents,Private,Others,500000
1074,1074,Care Heart by Care Health,18-75,Parents,Private,Others,500000
1075,1075,Care Freedom for Diabetes by Care Health,18-75,Parents,Private,Others,500000
1076,1076,Care Freedom by Care Health,18-75,Parents,Private,Diabetes,500000
1077,1077,Care Heart by Care Health,18-75,Parents,Private,Diabetes,500000
1078,1078,Care Freedom for Diabetes by Care Health,18-75,Parents,Private,Diabetes,500000
1079,1079,Care Freedom by Care Health,18-75,Parents,Private,Hypertension,500000
1080,1080,Care Heart by Care Health,18-75,Parents,Private,Hypertension,500000
1081,1081,Care Freedom for Diabetes by Care Health,18-75,Parents,Private,Hypertension,500000
1082,1082,Joy Tomorrow by Care Health,18-40,Parents,Private,Others,500000
1083,1083,Care Freedom by Care Health,18-40,Parents,Private,Others,500000
1084,1084,Care Heart by Care Health,18-40,Parents,Private,Others,500000
1085,1085,Care Freedom for Diabetes by Care Health,18-40,Parents,Private,Others,500000
1086,1086,Arogya Sanjeevi by Care Health,18-40,Parents,Private,Others,500000
1087,1087,Care Freedom by Care Health,18-60,Parents,Private,Diabetes,500000
1088,1088,Care Heart by Care Health,18-60,Parents,Private,Diabetes,500000
1089,1089,Care Freedom for Diabetes by Care Health,18-60,Parents,Private,Diabetes,500000
1090,1090,Care Freedom by Care Health,18-60,Parents,Private,Hypertension,500000
1091,1091,Care Heart by Care Health,18-60,Parents,Private,Hypertension,500000
1092,1092,Care Freedom for Diabetes by Care Health,18-60,Parents,Private,Hypertension,500000
1093,1093,Care Freedom by Care Health,18-60,Parents,Private,Others,500000
1094,1094,Care Heart by Care Health,18-60,Parents,Private,Others,500000
1095,1095,Care Freedom for Diabetes by Care Health,18-60,Parents,Private,Others,500000
1096,1096,Arogya Sanjeevi by Care Health,18-60,Parents,Private,Others,500000
1097,1097,Care Senior 45+ by Care Health,18-60,Parents,Private,Others,500000
1098,1098,Care Plus by Care Health,18-40,Self,Private,Diabetes,1000000
1099,1099,Care Heart by Care Health,18-40,Self,Private,Diabetes,1000000
1100,1100,Care Plus by Care Health,18-40,Self,Private,Hypertension,1000000
1101,1101,Care Heart by Care Health,18-40,Self,Private,Hypertension,1000000
1102,1102,Care Plus by Care Health,18-60,Self,Private,Diabetes,1000000
1103,1103,Care Heart by Care Health,18-60,Self,Private,Diabetes,1000000
1104,1104,Care Freedom by Care Health,18-60,Self,Private,Diabetes,1000000
1105,1105,Care Freedom for Diabetes by Care Health by Care Health,18-60,Self,Private,Diabetes,1000000
1106,1106,Care Plus by Care Health,18-60,Self,Private,Hypertension,1000000
1107,1107,Care Heart by Care Health,18-60,Self,Private,Hypertension,1000000
1108,1108,Care Freedom by Care Health,18-60,Self,Private,Hypertension,1000000
1109,1109,Care Freedom for Diabetes by Care Health by Care Health,18-60,Self,Private,Hypertension,1000000
1110,1110,Care Supreme(Senior Super) by Care Health,18-75,Self,Private,Diabetes,1000000
1111,1111,Care Supreme(Senior Premium) by Care Health,18-75,Self,Private,Diabetes,1000000
1112,1112,Care Plus by Care Health,18-75,Self,Private,Diabetes,1000000
1113,1113,Care Freedom by Care Health,18-75,Self,Private,Diabetes,1000000
1114,1114,Care Heart by Care Health,18-75,Self,Private,Diabetes,1000000
1115,1115,Care Freedom for Diabetes by Care Health by Care Health,18-75,Self,Private,Diabetes,1000000
1116,1116,Care Supreme(Senior Super) by Care Health,18-75,Self,Private,Hypertension,1000000
1117,1117,Care Supreme(Senior Premium) by Care Health,18-75,Self,Private,Hypertension,1000000
1118,1118,Care Plus by Care Health,18-75,Self,Private,Hypertension,1000000
1119,1119,Care Freedom by Care Health,18-75,Self,Private,Hypertension,1000000
1120,1120,Care Heart by Care Health,18-75,Self,Private,Hypertension,1000000
1121,1121,Care Freedom for Diabetes by Care Health by Care Health,18-75,Self,Private,Hypertension,1000000
1122,1122,Senior Health Advantage by Care Health,18-75,Self,Private,Others,1000000
1123,1123,Care Supreme Direct by Care Health,18-75,Self,Private,Others,1000000
1124,1124,NCB Super Premium by Care Health,18-75,Self,Private,Others,1000000
1125,1125,Care Senior by Care Health,18-75,Self,Private,Others,1000000
1126,1126,Care Supreme by Care Health,18-75,Self,Private,Others,1000000
1127,1127,Care by Care Health,18-75,Self,Private,Others,1000000
1128,1128,Care Supreme(Senior Super) by Care Health,18-75,Self,Private,Others,1000000
1129,1129,Care Supreme(Senior Premium) by Care Health,18-75,Self,Private,Others,1000000
1130,1130,Care Plus by Care Health,18-75,Self,Private,Others,1000000
1131,1131,Care Freedom by Care Health,18-75,Self,Private,Others,1000000
1132,1132,Care Heart by Care Health,18-75,Self,Private,Others,1000000
1133,1133,Care Freedom for Diabetes by Care Health by Care Health,18-75,Self,Private,Others,1000000
1134,1134,Care Supreme(Senior Super) by Care Health,18-75,Self and Spouse,Private,Others,1000000
1135,1135,Care Supreme(Senior Premium) by Care Health,18-75,Self and Spouse,Private,Others,1000000
1136,1136,Care Plus by Care Health,18-75,Self and Spouse,Private,Others,1000000
1137,1137,Care Freedom by Care Health,18-75,Self and Spouse,Private,Others,1000000
1138,1138,Care Heart by Care Health,18-75,Self and Spouse,Private,Others,1000000
1139,1139,Care Freedom for Diabetes by Care Health by Care Health,18-75,Self and Spouse,Private,Others,1000000
1140,1140,Care Supreme Direct by Care Health,18-75,Self and Spouse,Private,Others,1000000
1141,1141,NCB Super Premium by Care Health,18-75,Self and Spouse,Private,Others,1000000
1142,1142,Care Supreme by Care Health,18-75,Self and Spouse,Private,Others,1000000
1143,1143,Care Supreme(Senior Super) by Care Health,18-75,Self and Spouse,Private,Diabetes,1000000
1144,1144,Care Supreme(Senior Premium) by Care Health,18-75,Self and Spouse,Private,Diabetes,1000000
1145,1145,Care Plus by Care Health,18-75,Self and Spouse,Private,Diabetes,1000000
1146,1146,Care Freedom by Care Health,18-75,Self and Spouse,Private,Diabetes,1000000
1147,1147,Care Heart by Care Health,18-75,Self and Spouse,Private,Diabetes,1000000
1148,1148,Care Freedom for Diabetes by Care Health by Care Health,18-75,Self and Spouse,Private,Diabetes,1000000
1149,1149,Care Supreme(Senior Super) by Care Health,18-75,Self and Spouse,Private,Hypertension,1000000
1150,1150,Care Supreme(Senior Premium) by Care Health,18-75,Self and Spouse,Private,Hypertension,1000000
1151,1151,Care Plus by Care Health,18-75,Self and Spouse,Private,Hypertension,1000000
1152,1152,Care Freedom by Care Health,18-75,Self and Spouse,Private,Hypertension,1000000
1153,1153,Care Heart by Care Health,18-75,Self and Spouse,Private,Hypertension,1000000
1154,1154,Care Freedom for Diabetes by Care Health by Care Health,18-75,Self and Spouse,Private,Hypertension,1000000
1155,1155,Care Supreme(Senior Super) by Care Health,18-75,Self and Spouse and 1Kid,Private,Others,1000000
1156,1156,Care Supreme(Senior Premium) by Care Health,18-75,Self and Spouse and 1Kid,Private,Others,1000000
1157,1157,Care Plus by Care Health,18-75,Self and Spouse and 1Kid,Private,Others,1000000
1158,1158,Care Freedom by Care Health,18-75,Self and Spouse and 1Kid,Private,Others,1000000
1159,1159,Care Heart by Care Health,18-75,Self and Spouse and 1Kid,Private,Others,1000000
1160,1160,Care Freedom for Diabetes by Care Health by Care Health,18-75,Self and Spouse and 1Kid,Private,Others,1000000
1161,1161,Care Supreme Direct by Care Health,18-75,Self and Spouse and 1Kid,Private,Others,1000000
1162,1162,NCB Super Premium by Care Health,18-75,Self and Spouse and 1Kid,Private,Others,1000000
1163,1163,Care Supreme(Senior Super) by Care Health,18-75,Self and Spouse and 1Kid,Private,Diabetes,1000000
1164,1164,Care Supreme(Senior Premium) by Care Health,18-75,Self and Spouse and 1Kid,Private,Diabetes,1000000
1165,1165,Care Plus by Care Health,18-75,Self and Spouse and 1Kid,Private,Diabetes,1000000
1166,1166,Care Freedom by Care Health,18-75,Self and Spouse and 1Kid,Private,Diabetes,1000000
